METERID,LON,LAT
2203006,-73.875925371,40.8292175727
3071392,-74.001187812,40.6012880441
3131534,-73.9840639521,40.6110496411
3063073,-73.93924012,40.6006581963
3103058,-73.9858187045,40.6233532417
3043167,-73.9407626667,40.6176579431
2293023,-73.8310941351,40.8892648935
3131529,-73.9835291294,40.6122584723
3163105,-73.9498879156,40.6545014331
4013063,-73.917931522,40.7419849657
4033016,-73.8068540791,40.7024388267
4033003,-73.8094320281,40.7019619386
4013108,-73.9195207522,40.7419220377
4033042,-73.8066212903,40.6987568105
4013085,-73.9234791952,40.7432575037
4033039,-73.8053099753,40.6968564177
4233010,-73.9271761953,40.7553137268
4233078,-73.9188005403,40.7659245208
4233027,-73.9293362003,40.7544688696
4233033,-73.9307846172,40.7647949122
4233119,-73.9254336392,40.7688536571
4233156,-73.9180884426,40.765593745
4233056,-73.9268382473,40.7629881357
5053351,-74.1654733074,40.5449018336
5053347,-74.1629185737,40.5418065236
4033073,-73.7919201825,40.7066534009
4103013,-73.8378283534,40.5806593735
4013110,-73.9174403746,40.7425863634
3149854,-73.9929424182,40.6616975224
4061162,-73.8156139627,40.7622026707
4033036,-73.804063992,40.6963754699
1243061,-73.9973799234,40.7165682631
1243084,-73.9987811099,40.7195767119
3051338,-73.9627659567,40.6098610518
1243096,-73.9992396058,40.718569881
1243077,-73.9943931471,40.7197706804
1243089,-73.9995053812,40.7194431672
1353034,-74.0043095426,40.7473281484
1353003,-74.0004355805,40.7475194021
1353015,-74.0031062458,40.7438560393
1323023,-74.0053763924,40.7275341215
1323041,-74.0051218255,40.7278994749
1323031,-74.0057222288,40.726722623
1463007,-74.005138746,40.7404324461
1442559,-73.9850367774,40.7528029403
1443051,-73.9815063774,40.7503851865
1443106,-73.9877336263,40.7530120215
5053013,-74.08770053,40.5854243185
1443217,-73.9855539921,40.7479396125
1443269,-73.9813122144,40.747994334
1442531,-73.9760519786,40.7497164546
1443021,-73.9750937569,40.7477959283
1443077,-73.9855976933,40.7513093988
1443130,-73.991509049,40.7531049688
1443184,-73.9864280029,40.7500420277
1443243,-73.9732695196,40.748160101
1443008,-73.9860271813,40.7531048521
1443062,-73.9774920427,40.7479931807
1443117,-73.9889023252,40.7526945569
1443228,-73.989813787,40.7498340349
1443281,-73.9913410133,40.7549077934
1442536,-73.9748202358,40.7484901276
1442564,-73.9835607517,40.7521811039
1443056,-73.9781884107,40.7491023376
1443111,-73.9868712491,40.7518448954
1443222,-73.9876846913,40.7489366141
1443275,-73.9928565582,40.7532140142
1443418,-73.9824612815,40.7434962855
1443473,-73.9884158296,40.7452078543
1443525,-73.9932033641,40.7455038051
1443577,-73.9902515476,40.7426451362
1443338,-73.9794045627,40.750009001
1443444,-73.9925345917,40.7477502966
1443497,-73.9865979081,40.7436369312
1443548,-73.9896351524,40.7432949737
1443561,-73.9944664739,40.7453291231
1443595,-73.9975261289,40.7448082261
1443607,-73.9856875731,40.7398028256
1443429,-73.9872153959,40.7454046573
1443484,-73.9847891716,40.743567798
1443535,-73.9902059645,40.7443453324
1443662,-73.9883186551,40.7479541675
1443738,-73.9823117644,40.742994168
1443956,-73.9886288565,40.7558186879
1443628,-73.9847831098,40.7425561191
1443645,-73.9926083813,40.7433551703
1443679,-73.9932047531,40.7476153459
1443724,-73.9797021694,40.7433610634
1443762,-73.9950656503,40.7450603752
1443928,-73.9765171745,40.7515445107
1443973,-73.9743599443,40.7499118118
1443985,-73.9855095914,40.753804535
1433027,-73.981697671,40.7571032699
1433066,-73.9784103754,40.7607354561
1433109,-73.9818436267,40.7638182128
1433108,-73.9821330066,40.7638388643
1433152,-73.9797239499,40.7644551469
1433132,-73.9840261053,40.7580849921
1433197,-73.9725843634,40.7548985727
1433045,-73.9827016393,40.7558917882
1433085,-73.9757375687,40.762062855
1433212,-73.9751910072,40.7592726196
1433017,-73.9793149634,40.7577365053
1433096,-73.9811773362,40.7610849653
1433360,-73.9720208256,40.7612103619
1433434,-73.9836281164,40.7629356087
1433848,-73.9715157532,40.7528107057
2023009,-73.9183228855,40.8161487155
3403025,-73.9507685226,40.6805128871
3033004,-73.8828786659,40.6664847074
2293001,-73.8510091795,40.8751580059
3013636,-73.9823187118,40.6883793874
3013629,-73.9849756713,40.6892594242
3013601,-73.9805445922,40.686814096
